開始,終了,講師,タイトル
9:30,10:00,-,開場・受付
10:00,10:15,-,オープニング
10:15,10:50,tomo,信頼性を高めるって結局何だったの？
10:50,10:55,谷 昌典,新しくできたPlatform Engineeringに関わるチームを紹介する【サイボウズ株式会社】
10:55,11:05,-,休憩
11:05,11:40,菅原政行,野良SREが考えるひとりめの仕事、透明性の作り方
11:40,11:55,今野 結太,コードに魂を吹き込め！GitHubで作る夢の開発環境【ウルシステムズ株式会社】
11:55,12:30,菱田健太@トポタル,SREの組織類型に応じたリーダーシップの考察
12:30,13:30,-,集合写真・休憩 『むさしのお弁当、先着50名』！！
13:30,14:05,宇田　誠之朗,プロダクトと開発を支えるSREの力
14:05,14:40,谷 昌典,開発組織を横断して支える生産性向上チームの取り組み
14:40,14:50,-,休憩
14:50,15:25,dyoshikawa,エンジニアのための情報共有コミュニティサービスZennの開発チームを支える自動化の仕組み
15:25,15:40,小西 啓太,エンジニアとサブスレッド【株式会社サブスレッド】
15:40,16:15,chanyou,データの信頼性を支える仕組みと技術
16:15,16:25,-,休憩
16:25,16:40,安藤 光昭,TBD【ビットリバー株式会社】
16:40,17:15,Wataru Tsuda / gr1m0h,"""君は見ているが観察していない"" で考えるインシデントマネジメント"
17:15,17:30,クロージング,『書籍プレゼント企画、5名様』！！